run,id,drug_name,fact_type,extraction_method,extraction_confidence,governance_status,consensus_achieved,target_kb,condition_name,meddra_pt,meddra_name,meddra_soc_name,frequency,severity,interactant_name,clinical_effect,mechanism,fda_category,lab_name,ndc_code,strength,source_section_id,created_at
BASELINE,106dd80f-3e1a-4808-bba9-40e29cf14a8a,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Niacin (lipid-modifying doses),Increased risk of myopathy,Not specified,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.93235+00
BASELINE,bebebbf8-d99c-4a02-9042-eec852519d68,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Cyclosporine,Significantly increased atorvastatin AUC and bioavailability,OATP1B1 transporter inhibition,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.936068+00
BASELINE,60b313e2-7439-4eb7-9a63-a5dbb8ff36d4,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Cyclopropane,Not specified,Myocardial depression,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.933836+00
BASELINE,2e347459-b715-4aa7-8fd2-ed61c5a153d4,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Cyclosporine,Modest increases in mean trough cyclosporine concentrations,Not specified,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.888606+00
BASELINE,89523a67-4375-45ad-9f52-16bc2b996a7d,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Niacin,Enhanced risk of skeletal muscle effects,Not specified,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.964396+00
BASELINE,b8f00711-e8cc-41bd-a16a-a9a764ad8456,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Ether,Not specified,Myocardial depression,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.929767+00
BASELINE,0b8dbfa3-e238-4773-90c7-5a3509df6bd8,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Anesthetic agents that depress myocardial function,Not specified,Myocardial depression,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.927733+00
BASELINE,7bb60064-9717-4fc5-a8a1-ca6ee5ec7f6d,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Direct renin inhibitors,"Increased risk of hypotension, syncope, hyperkalemia, and changes in renal function",Dual blockade of the RAS,,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.884574+00
BASELINE,c1fad3b8-6054-47e4-9962-5a1171aedeaa,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,CONTRAINDICATED,Aliskiren,"Increased risk of hypotension, syncope, hyperkalemia, and changes in renal function",Dual blockade of the RAS,,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.887662+00
BASELINE,230ba559-b42e-4e65-a848-57d15257a489,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Strong CYP 3A4 inhibitors,Increased risk of myopathy and increased plasma concentrations of atorvastatin,CYP3A4 inhibition,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.939119+00
BASELINE,42af0cd4-005c-4455-a0b3-ab612cd01a55,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Clarithromycin,Significantly increased atorvastatin AUC,CYP3A4 inhibition,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.941723+00
BASELINE,2c895d3e-fec6-41f4-ae54-b78c8b49e0ed,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Potassium-sparing diuretics,Significant increases in serum potassium,"",,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.889714+00
BASELINE,ee17a2c1-b3da-4c6b-80e8-ff7a377d9a41,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Rifampin,Variable reductions in plasma concentrations of atorvastatin,CYP3A4 induction,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.967962+00
BASELINE,d2688858-7062-4980-88b4-5c63f7437b27,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,CYP3A4 inducers,Variable reductions in plasma concentrations of atorvastatin,CYP3A4 induction,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.970892+00
BASELINE,30089f39-32fa-4b3c-92c7-81e55299a365,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Oral hypoglycemics,Enhanced blood-sugar-reducing effect,Not specified,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.924594+00
BASELINE,d2195429-7dc3-402f-9fcf-8a4cae591160,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Calcium channel blockers of the verapamil type,Not specified,Not specified,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.916284+00
BASELINE,b566bc82-ea77-4d9f-bf5a-9c98a2cd54e8,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Diltiazem,Conduction disturbance (rarely with hemodynamic compromise),Not specified,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.913585+00
BASELINE,09ffbb22-dcfd-45a2-b2fc-a32186d92c7e,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Fluconazole,"Enhanced β-blocking activity, further slowing of the heart rate or cardiac conduction",CYP2C9 inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.91101+00
BASELINE,53e0ab5e-e10f-41f2-8520-4105797a3c08,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Clonidine,Hypotension and bradycardia,Not specified,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.885683+00
BASELINE,aae659f9-c0f1-4f0e-a779-48cf5f120674,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Digoxin,Increased steady state plasma digoxin concentrations by approximately 20%,Not specified,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.974156+00
BASELINE,1f4093be-c591-4c45-82f9-5cc0feff07ec,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Monoamine oxidase inhibitors,Signs of hypotension and/or severe bradycardia,Catecholamine depletion,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.882254+00
BASELINE,2c4c3f7b-1699-47f1-9bac-d215281cf07a,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Reserpine,Signs of hypotension and/or severe bradycardia,Catecholamine depletion,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.879582+00
BASELINE,d9e6ee09-a818-4a0c-91fb-0846e610701d,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Catecholamine-depleting drugs,Signs of hypotension and/or severe bradycardia,Catecholamine depletion,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.876479+00
BASELINE,d7a5deaf-d5d7-4a94-8aeb-c335335b6780,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Propafenone,Increased blood levels of the R(+) enantiomer of carvedilol,CYP2D6 inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.872959+00
BASELINE,6fedadf5-10f1-4ca2-9bf6-1f6b1719e7cc,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,CYP2C9 inhibitors,"Enhanced β-blocking activity, further slowing of the heart rate or cardiac conduction",CYP2C9 inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.90755+00
BASELINE,41a53cce-2662-4678-86ce-0442c7aeffbf,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Fibric acid derivatives,Increased risk of myopathy,Not specified,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.928693+00
BASELINE,a3b13384-4b18-424d-90a7-d71848a455d9,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Potassium-containing salt substitutes,Significant increases in serum potassium,"",,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.895468+00
BASELINE,35d8ef27-999e-40f5-ab05-a3af755f51be,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MILD,Oral Contraceptives,Increased AUC values for norethindrone and ethinyl estradiol,Not specified,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.976423+00
BASELINE,c56e850e-c400-4736-bf4a-004162c5a80f,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Colchicine,"Cases of myopathy, including rhabdomyolysis",Not specified,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.979328+00
BASELINE,37c9e9d9-86ce-456c-996b-5c164ed5eaa9,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Paroxetine,Increased blood levels of the R(+) enantiomer of carvedilol,CYP2D6 inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.870125+00
BASELINE,ef036f10-757e-4b20-bb2a-8a395195e92b,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Fluoxetine,Increased blood levels of the R(+) enantiomer of carvedilol,CYP2D6 inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.866756+00
BASELINE,165dcbb7-6634-4fc3-b04a-2ed4ea1be973,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Agents Increasing Serum Potassium,Hyperkalemia,"",,,,,45990a4b-e3db-4f11-b97d-e46f67129c91,2026-02-12 15:05:39.999488+00
BASELINE,66b2c933-5ec2-44f5-92ca-3b35d5ba4d3b,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Oral Contraceptives,"Decreased free levothyroxine, increasing thyroid requirements in patients without functioning thyroid gland","Estrogen-containing oral contraceptives tend to increase serum thyroxine-binding globulin (TBg), decreasing free levothyroxine",,,,,42b84bb1-57f7-4d4c-96dd-dd0e5cee06f4,2026-02-12 15:05:03.458144+00
BASELINE,dfb521fd-f5aa-407f-9998-c7e7831ef56b,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Quinidine,Increased blood levels of the R(+) enantiomer of carvedilol,CYP2D6 inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.864136+00
BASELINE,e234207c-8c5f-4585-ac4a-cc5b99cd3a3e,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Lithium,Lithium toxicity,"",,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.897719+00
BASELINE,1508013a-0502-4459-a6ad-7e0af3bfd5cf,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,HIV protease inhibitors,Significantly increased atorvastatin AUC,CYP3A4 inhibition,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.944686+00
BASELINE,613b75fa-8615-49b8-8cf2-e7611be6a39b,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Telaprevir,Significantly increased atorvastatin AUC,CYP3A4 inhibition,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.947345+00
BASELINE,b3f35e57-b62b-4d9c-835c-97c474002285,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,mTOR inhibitors,Increased risk for angioedema,"",,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.899683+00
BASELINE,78ac1c75-2971-4c25-b826-e926a761a750,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,CYP2D6 Inhibitors,Increased blood levels of the R(+) enantiomer of carvedilol,CYP2D6 inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.859557+00
BASELINE,d11fd778-c42e-4422-a067-5f3ef04e0001,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Warfarin,Increases the risk of bleeding,Independent effects on hemostasis,,,,,ddbb0205-62ad-4e50-82f6-0151f929f107,2026-02-12 15:06:52.355571+00
BASELINE,b7c31211-4b60-495e-b117-14ad62f56e34,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Neprilysin inhibitors,Increased risk for angioedema,"",,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.902522+00
BASELINE,1de98e2d-1bb1-45d3-8d4e-81d73818c8c8,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Amiodarone,"Increased concentrations of the S(-)-enantiomer of carvedilol by at least 2 fold, enhanced β-blocking activity, further slowing of the heart rate or cardiac conduction",CYP2C9 and P-glycoprotein inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.904523+00
BASELINE,6fa6966e-a1e1-45a7-8014-829f6fd19d0e,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Cimetidine,Increased AUC by about 30% but caused no change in Cmax,Hepatic metabolism inhibition,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.900511+00
BASELINE,2c6103cc-1e41-4544-aff9-2157fa0d8bb5,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Rifampin,Reduced plasma concentrations of carvedilol by about 70%,Hepatic metabolism induction,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.89803+00
BASELINE,4578e7e4-c5d5-40f6-a931-17120563d65c,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Digoxin,Digoxin concentrations are increased by about 15%,Not specified,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.894522+00
BASELINE,478aedc4-b751-44f9-98b1-9b74ed341581,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Itraconazole,Significantly increased atorvastatin AUC,CYP3A4 inhibition,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.950952+00
BASELINE,afd9de6b-d18f-426d-ad3d-3c9b7c5b0e1a,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Estrogen,"Decreased free levothyroxine, increasing thyroid requirements in patients without functioning thyroid gland","Estrogens tend to increase serum thyroxine-binding globulin (TBg), decreasing free levothyroxine",,,,,42b84bb1-57f7-4d4c-96dd-dd0e5cee06f4,2026-02-12 15:05:03.45517+00
BASELINE,ff4a7387-a264-44eb-bace-e57c07e08421,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Colestipol,Impaired absorption of thyroid hormones,"Binds both T4 and T3 in the intestine, thus impairing absorption of these thyroid hormones",,,,,42b84bb1-57f7-4d4c-96dd-dd0e5cee06f4,2026-02-12 15:05:03.452834+00
BASELINE,1ca2cd7f-e9f1-416f-8cbe-3092fd0c86e8,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MILD,Grapefruit Juice,Increased plasma concentrations of atorvastatin,CYP3A4 inhibition,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.95436+00
BASELINE,93305fdc-de7b-4c2d-952d-90aa23f43e33,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Insulin,Enhanced blood-sugar-reducing effect,Not specified,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.921768+00
BASELINE,956a91da-07cc-491d-b383-55c943ee6b8d,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,NSAIDs,"Deterioration of renal function, including possible acute renal failure","",,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.879401+00
BASELINE,cfbd9ac5-818c-4b31-9b07-57b4eb276a7a,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Verapamil,Not specified,Not specified,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.919504+00
BASELINE,aca610a2-701e-4cab-9140-994791433804,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Digitalis Glycosides,Increased risk of bradycardia,Both slow atrioventricular conduction and decrease heart rate,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.892204+00
BASELINE,db831af9-668c-4b84-a25f-d837956b0f27,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Angiotensin receptor blockers,"Increased risk of hypotension, syncope, hyperkalemia, and changes in renal function",Dual blockade of the RAS,,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.881978+00
BASELINE,608e76df-d772-4d3a-a2b2-d814c600e653,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Cholestyramine,Impaired absorption of thyroid hormones,"Binds both T4 and T3 in the intestine, thus impairing absorption of these thyroid hormones",,,,,42b84bb1-57f7-4d4c-96dd-dd0e5cee06f4,2026-02-12 15:05:03.450017+00
BASELINE,01c09fe4-00b6-45ca-8b7d-01eecfbd9f5f,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Oral Hypoglycemics,Increases in oral hypoglycemic requirements,Not specified,,,,,42b84bb1-57f7-4d4c-96dd-dd0e5cee06f4,2026-02-12 15:05:03.447469+00
BASELINE,4c9cc6f4-eb95-4645-8f8f-b9c4b96c24b1,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Insulin,Increases in insulin requirements,Not specified,,,,,42b84bb1-57f7-4d4c-96dd-dd0e5cee06f4,2026-02-12 15:05:03.445122+00
BASELINE,b3932136-0723-4be9-a214-3bbcdc334611,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Oral Anticoagulants,Enhanced anticoagulant effect requiring reduction in anticoagulant dosage,Thyroid hormones increase catabolism of vitamin K-dependent clotting factors and impair compensatory increases in clotting factor synthesis,,,,,42b84bb1-57f7-4d4c-96dd-dd0e5cee06f4,2026-02-12 15:05:03.441634+00
BASELINE,cb25f3b3-d7f6-465f-8071-d97fed433e7a,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Tacrolimus,Amlodipine may increase the systemic exposure of tacrolimus,"",,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-12 15:04:50.277765+00
BASELINE,089e1e41-76bb-4721-8690-2e3efc0d44c8,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Cyclosporine,Amlodipine may increase the systemic exposure of cyclosporine,"",,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-12 15:04:50.275192+00
BASELINE,9a9277ae-49c0-4762-9ef3-a4cef9865239,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Simvastatin,Increases the systemic exposure of simvastatin,"",,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-12 15:04:50.272347+00
BASELINE,915f0640-bde8-4578-b644-d5fe6cd864e6,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Sildenafil,Hypotension,"",,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-12 15:04:50.269447+00
BASELINE,b9b5f782-5d8b-4178-9723-780824aab069,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,CYP3A inducers,Unknown quantitative effects on amlodipine,CYP3A induction,,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-12 15:04:50.265983+00
BASELINE,234052dd-7b90-4214-9ea9-9a556f15fe69,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,CYP3A inhibitors (moderate and strong),Increased systemic exposure to amlodipine,CYP3A inhibition,,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-12 15:04:50.262316+00
BASELINE,8cfee179-2d4c-4189-9c7f-25b201aa9b8a,"",SAFETY_SIGNAL,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-4,Vertigo,10047340,Vertigo,"","",MEDIUM,,,,,,,,abd9ea83-9427-48ea-ad69-a5f2e85f0e98,2026-02-12 15:05:30.50463+00
BASELINE,ec567da8-ed0d-4221-b27e-652dcc3c2b3b,"",SAFETY_SIGNAL,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-4,Tinnitus,10043648,Tinnitus,"","",MEDIUM,,,,,,,,abd9ea83-9427-48ea-ad69-a5f2e85f0e98,2026-02-12 15:05:30.506527+00
